Thu Mar 21 15:41:05 2019


Number of Points = 15270

Depth (nm)	Load (µN)	Time (s)
-1.061161	0.732251	0.000000
-1.057636	0.446084	0.016667
-1.537632	0.682520	0.033333
-1.212104	0.505858	0.050000
-1.531054	0.739693	0.066667
-1.044482	0.560373	0.083333
-1.363390	0.737152	0.100000
-1.037991	0.732251	0.116667
-1.356856	0.851796	0.133333
-1.031414	0.789662	0.150000
-1.189234	0.906905	0.166667
-1.024923	0.962252	0.183333
-1.182744	1.079672	0.200000
-1.018389	1.077609	0.216667
-0.854035	1.075605	0.233333
-0.689768	1.189493	0.250000
-0.686501	1.247498	0.266667
-0.522147	1.245792	0.283333
-0.357837	1.302330	0.300000
-0.676789	1.538414	0.316667
-0.512435	1.537006	0.333333
-0.348082	1.535658	0.350000
-0.344903	1.711277	0.366667
-0.019462	1.650399	0.383333
0.144891	1.649349	0.400000
0.148157	1.708127	0.416667
0.312466	1.766093	0.433333
0.315732	1.825049	0.450000
0.318954	1.943139	0.466667
0.000000	2.180998	0.483333
0.808435	2.298187	0.500000
0.972564	2.597326	0.516667
1.458684	3.020963	0.533333
2.266837	3.514849	0.550000
3.074982	4.018794	0.566667
4.044018	4.725151	0.583333
5.013137	5.320515	0.600000
5.982295	5.864377	0.616667
7.112532	6.360171	0.633333
8.403747	6.941095	0.650000
9.534117	7.259729	0.666667
10.181014	8.037099	0.683333
11.472303	8.519887	0.700000
12.441566	8.924485	0.716667
13.571805	9.417380	0.733333
14.379861	10.039789	0.750000
15.832367	10.289514	0.766667
16.640464	10.857892	0.783333
17.931927	11.109213	0.800000
19.062408	11.278752	0.816667
20.031688	11.660246	0.833333
20.678844	12.092276	0.850000
21.970290	12.365713	0.866667
22.617382	12.883913	0.883333
23.747675	13.305617	0.900000
24.716874	13.794237	0.916667
26.008301	14.092777	0.933333
26.977549	14.516667	0.950000
27.946852	14.867466	0.966667
28.755123	15.203245	0.983333
29.885386	15.663725	1.000000
31.015826	15.889241	1.016667
32.146140	16.280950	1.033333
32.954460	16.552737	1.050000
33.762530	17.156223	1.066667
35.053982	17.422132	1.083333
36.023318	17.728859	1.100000
36.992651	18.039417	1.116667
37.800767	18.582135	1.133333
39.253355	18.722354	1.150000
39.900440	19.250042	1.166667
41.030848	19.517711	1.183333
41.838948	20.081351	1.200000
43.291524	20.238365	1.216667
43.777508	20.844516	1.233333
45.068990	21.069323	1.250000
45.716054	21.624981	1.266667
47.329705	21.738686	1.283333
47.976829	22.214000	1.300000
49.107280	22.424355	1.316667
49.915418	22.937618	1.333333
51.206883	23.185942	1.350000
52.176239	23.465996	1.366667
53.467836	23.538058	1.383333
53.792838	24.062022	1.400000
55.245380	24.264188	1.416667
55.731395	24.827839	1.433333
57.344949	25.071647	1.450000
58.153344	25.242313	1.466667
59.122543	25.732093	1.483333
60.091951	25.942117	1.500000
61.061215	26.344701	1.516667
62.191778	26.404595	1.533333
62.999806	27.065198	1.550000
64.130294	27.226090	1.566667
64.938387	27.799195	1.583333
66.391046	27.846340	1.600000
67.199353	28.133973	1.616667
68.490921	28.245042	1.633333
69.138064	28.695091	1.650000
70.429703	28.711987	1.666667
71.076842	29.167077	1.683333
72.207241	29.446404	1.700000
72.854451	29.807301	1.716667
74.468107	29.913417	1.733333
74.793139	30.398118	1.750000
76.406792	30.509723	1.766667
76.892831	31.041166	1.783333
78.506479	31.158684	1.800000
78.992668	31.491143	1.816667
80.123051	31.792373	1.833333
80.931179	32.318878	1.850000
82.383731	32.507342	1.866667
83.031001	32.788365	1.883333
84.644715	32.817989	1.900000
85.130974	33.057246	1.916667
86.422432	33.314544	1.933333
87.230784	33.542661	1.950000
88.361072	33.970307	1.966667
89.169580	33.990294	1.983333
90.461031	34.257307	2.000000
91.430705	34.113058	2.016667
92.077723	34.728912	2.033333
93.530337	34.836219	2.050000
94.338761	34.968485	2.066667
95.147022	35.317478	2.083333
96.277375	35.657946	2.100000
97.246721	35.952126	2.116667
98.377151	36.188972	2.133333
99.507909	35.990720	2.150000
100.155075	36.408982	2.166667
101.446754	36.371691	2.183333
102.093919	36.793567	2.200000
103.546600	36.809642	2.216667
104.193845	37.124706	2.233333
105.485520	37.092281	2.250000
106.132679	37.521390	2.266667
107.424269	37.603026	2.283333
108.393767	37.693223	2.300000
109.202177	37.843876	2.316667
110.171421	38.273421	2.333333
111.624093	38.301646	2.350000
111.949154	38.747731	2.366667
113.562656	39.060162	2.383333
113.887885	39.282399	2.400000
115.662727	39.198060	2.416667
116.148956	39.476607	2.433333
117.762709	39.454484	2.450000
118.410196	39.446063	2.466667
119.379598	39.663933	2.483333
120.349086	39.767965	2.500000
120.996225	40.223129	2.516667
122.126537	40.618159	2.533333
123.579197	40.664321	2.550000
124.387681	40.716532	2.566667
125.356989	41.060396	2.583333
126.648821	40.818810	2.600000
127.135041	41.109202	2.616667
128.104522	41.222221	2.633333
129.235001	41.394584	2.650000
130.204569	41.391737	2.666667
131.173871	41.744329	2.683333
132.304436	41.802288	2.700000
133.112736	42.098991	2.716667
134.404297	42.218906	2.733333
135.212865	42.160322	2.750000
136.021073	42.580341	2.766667
137.312721	42.584232	2.783333
138.282104	42.828176	2.800000
139.090489	43.012537	2.816667
140.381953	43.261188	2.833333
141.190337	43.447976	2.850000
142.320893	43.516901	2.866667
143.290453	43.524675	2.883333
144.098834	43.714140	2.900000
145.390385	43.848366	2.916667
146.198764	44.040019	2.933333
147.329317	44.113827	2.950000
148.298690	44.370827	2.966667
149.268247	44.383185	2.983333
150.076716	44.455499	3.000000
151.207174	44.656443	3.016667
152.015363	45.101535	3.033333
153.306999	45.122290	3.050000
154.115372	45.322209	3.066667
155.407099	45.220367	3.083333
156.215471	45.421994	3.100000
157.184836	45.690240	3.116667
158.154294	45.834665	3.133333
159.446019	45.735777	3.150000
160.093395	45.874981	3.166667
161.223654	46.340474	3.183333
162.354291	46.303363	3.200000
163.162373	46.891855	3.216667
164.454285	46.543577	3.233333
165.423737	46.694836	3.250000
166.232197	46.779236	3.266667
167.362640	47.000283	3.283333
168.171194	46.958518	3.300000
169.301539	47.309634	3.316667
170.271084	47.337601	3.333333
171.079445	47.553837	3.350000
172.209980	47.652326	3.366667
173.179233	48.069004	3.383333
174.471047	47.852243	3.400000
174.957328	48.061771	3.416667
176.409937	48.174786	3.433333
177.057206	48.456223	3.450000
178.348726	48.631338	3.466667
179.318168	48.796268	3.483333
180.609882	48.712901	3.500000
181.096159	48.926809	3.516667
182.548959	48.785212	3.533333
183.196323	48.940879	3.550000
184.004478	49.431869	3.566667
185.134904	49.674573	3.583333
186.426615	49.595461	3.600000
187.235063	49.694904	3.616667
188.365587	49.808575	3.633333
189.173935	50.041884	3.650000
190.304357	50.290394	3.666667
191.273990	50.200387	3.683333
192.243424	50.377058	3.700000
193.374044	50.361901	3.716667
194.021301	50.658926	3.733333
195.151820	50.778970	3.750000
196.282237	51.034205	3.766667
197.412955	50.887610	3.783333
198.221196	51.263614	3.800000
199.351813	51.252705	3.816667
200.321342	51.301663	3.833333
201.291074	51.080876	3.850000
201.938022	51.790750	3.866667
203.390811	51.663826	3.883333
204.037960	52.105835	3.900000
205.329763	51.903550	3.916667
206.137997	52.288395	3.933333
207.590784	52.164262	3.950000
207.915858	52.592554	3.966667
209.368644	52.469722	3.983333
210.176978	52.721846	4.000000
211.629763	52.600320	4.016667
212.115922	52.972731	4.033333
213.407411	53.187653	4.050000
214.054759	53.364766	4.066667
215.185160	53.641415	4.083333
216.476959	53.444259	4.100000
217.285393	53.563935	4.116667
218.254913	53.624889	4.133333
219.385415	53.766298	4.150000
220.193952	53.748464	4.166667
221.163261	54.090215	4.183333
222.293762	54.234326	4.200000
223.424261	54.379419	4.216667
224.232691	54.503701	4.233333
225.363190	54.650516	4.250000
226.171619	54.776088	4.266667
227.140923	55.124867	4.283333
228.271631	54.992230	4.300000
229.241146	55.060392	4.316667
230.371535	55.352984	4.333333
231.179855	55.623708	4.350000
232.310561	55.492819	4.366667
233.118774	55.907274	4.383333
234.410460	55.860457	4.400000
235.218885	55.991929	4.416667
236.349376	56.148339	4.433333
237.318779	56.364970	4.450000
238.127095	56.641818	4.466667
238.935410	56.919642	4.483333
240.227093	56.876915	4.500000
240.553008	56.183711	4.516667
240.718050	55.264155	4.533333
240.722004	54.405981	4.550000
240.564762	53.751719	4.566667
240.407626	52.956733	4.583333
240.411256	52.530424	4.600000
240.092711	52.223150	4.616667
240.096234	51.939602	4.633333
239.938457	51.998853	4.650000
240.264366	51.313970	4.666667
240.106695	51.231777	4.683333
240.110217	50.949065	4.700000
240.113739	50.666591	4.716667
240.117260	50.384356	4.733333
240.120888	49.961451	4.750000
239.963111	50.020709	4.766667
239.966526	49.879861	4.783333
240.131029	49.679813	4.800000
239.973358	49.598343	4.816667
239.815581	49.657602	4.833333
239.980083	49.457673	4.850000
239.822517	49.235774	4.866667
240.148001	49.117252	4.883333
239.990330	49.036023	4.900000
239.832763	48.814483	4.916667
239.836073	48.814483	4.933333
240.000470	48.755221	4.950000
239.842904	48.533921	4.966667
240.007196	48.614910	4.983333
240.010821	48.194333	5.000000
239.852939	48.393730	5.016667
240.017441	48.194333	5.033333
239.859769	48.113526	5.050000
239.863080	48.113526	5.066667
239.705197	48.312862	5.083333
240.030682	48.194333	5.100000
239.873220	47.833560	5.116667
240.037617	47.774294	5.133333
239.879945	47.693667	5.150000
240.044447	47.494566	5.166667
239.886879	47.274345	5.183333
239.890189	47.274345	5.200000
239.732412	47.333613	5.216667
240.057897	47.215077	5.233333
239.739033	47.333613	5.250000
239.903534	47.134691	5.266667
240.067932	47.075422	5.283333
239.910259	46.995096	5.300000
239.913674	46.855560	5.316667
239.916984	46.855560	5.333333
239.759312	46.775355	5.350000
239.923709	46.716085	5.366667
239.765932	46.775355	5.383333
239.930434	46.576669	5.400000
239.611569	46.695211	5.416667
239.936844	46.855560	5.433333
240.101451	46.517398	5.450000
239.943778	46.437313	5.466667
239.947193	46.298016	5.483333
239.950607	46.158779	5.500000
240.115109	45.960329	5.516667
239.957436	45.880484	5.533333
239.638468	46.138148	5.550000
239.641673	46.277324	5.566667
239.967158	46.158779	5.583333
239.809381	46.218052	5.600000
240.134969	45.960329	5.616667
239.816314	45.800701	5.633333
239.980711	45.741427	5.650000
239.823038	45.661703	5.666667
239.826348	45.661703	5.683333
239.990745	45.602428	5.700000
239.832968	45.661703	5.716667
239.836383	45.522765	5.733333
240.161867	45.404215	5.750000
239.843107	45.383886	5.766667
239.685330	45.443162	5.783333
239.849831	45.245068	5.800000
239.852933	45.522765	5.816667
239.534173	45.502437	5.833333
239.859449	45.661703	5.850000
240.023846	45.602428	5.866667
240.188556	45.126516	5.883333
239.869692	45.245068	5.900000
239.711810	45.443162	5.916667
239.876208	45.383886	5.933333
239.718535	45.304344	5.950000
239.882828	45.383886	5.966667
239.886138	45.383886	5.983333
239.889552	45.245068	6.000000
239.731775	45.304344	6.016667
239.896276	45.106309	6.033333
239.899482	45.245068	6.050000
239.902896	45.106309	6.066667
239.745015	45.304344	6.083333
239.748429	45.165585	6.100000
239.912826	45.106309	6.116667
239.916137	45.106309	6.133333
239.919447	45.106309	6.150000
239.922757	45.106309	6.166667
239.765188	44.888247	6.183333
239.929481	44.967609	6.200000
239.610721	44.947525	6.216667
240.097292	44.769692	6.233333
239.778428	44.888247	6.250000
239.942929	44.690390	6.266667
239.785152	44.749668	6.283333
239.788358	44.888247	6.300000
239.952963	44.551869	6.316667
239.956377	44.413409	6.333333
239.798600	44.472688	6.350000
239.801910	44.472688	6.366667
239.805116	44.611148	6.383333
239.969617	44.413409	6.400000
239.973135	44.136666	6.416667
239.815358	44.195946	6.433333
239.657477	44.393567	6.450000
239.660683	44.531967	6.466667
239.986064	44.551869	6.483333
239.828183	44.749668	6.500000
239.831701	44.472688	6.516667
239.834907	44.611148	6.533333
239.838425	44.334287	6.550000
239.841631	44.472688	6.566667
239.845045	44.334287	6.583333
239.848251	44.472688	6.600000
240.012856	44.136666	6.616667
239.693992	44.255227	6.633333
239.858285	44.334287	6.650000
239.700612	44.255227	6.666667
240.025992	44.275008	6.683333
239.707128	44.393567	6.700000
239.871629	44.195946	6.716667
239.874939	44.195946	6.733333
240.039440	43.998385	6.750000
239.881767	43.919444	6.766667
239.885180	43.781282	6.783333
239.727403	43.840564	6.800000
239.891800	43.781282	6.816667
239.895214	43.643180	6.833333
239.737437	43.702462	6.850000
239.740643	43.840564	6.866667
240.066231	43.583898	6.883333
239.747264	43.840564	6.900000
239.911661	43.781282	6.916667
239.915074	43.643180	6.933333
239.757401	43.564420	6.950000
239.921798	43.505137	6.966667
239.925212	43.367154	6.983333
239.928625	43.229231	7.000000
239.770848	43.288515	7.016667
239.613071	43.347799	7.033333
239.938452	43.367154	7.050000
239.780675	43.426438	7.066667
239.783985	43.426438	7.083333
239.787295	43.426438	7.100000
239.951692	43.367154	7.116667
239.793915	43.426438	7.133333
239.797225	43.426438	7.150000
239.961726	43.229231	7.166667
239.642758	43.485721	7.183333
239.968449	43.091368	7.200000
239.810672	43.150652	7.216667
239.975069	43.091368	7.233333
239.656205	43.209936	7.250000
239.820499	43.288515	7.266667
239.985000	43.091368	7.283333
239.827326	43.012849	7.300000
