Mon Mar 25 15:53:23 2019


Number of Points = 17400

Depth (nm)	Load (µN)	Time (s)
0.000000	2.266160	0.000000
0.326805	2.314718	0.016667
0.331478	2.427090	0.033333
0.658282	2.476541	0.050000
0.501909	2.592771	0.066667
0.345408	2.878953	0.083333
0.833300	2.870057	0.100000
1.160188	2.807437	0.116667
0.681511	3.215065	0.133333
1.008357	3.210029	0.150000
1.335202	3.205231	0.166667
1.339873	3.320216	0.183333
1.505673	3.318026	0.200000
1.510257	3.548947	0.216667
1.676057	3.547055	0.233333
1.519596	3.780817	0.250000
2.007484	3.776034	0.266667
1.851066	3.952452	0.283333
2.177909	3.949800	0.300000
2.182622	4.008332	0.316667
2.509466	4.006038	0.333333
2.353091	4.124516	0.350000
2.679934	4.122580	0.366667
2.523603	4.182347	0.383333
2.528227	4.359191	0.400000
2.532806	4.595813	0.416667
3.020736	4.535184	0.433333
3.025403	4.654090	0.450000
3.191203	4.653867	0.466667
2.712563	5.012141	0.483333
3.522622	4.892839	0.500000
3.205159	5.072323	0.516667
3.531955	5.133026	0.533333
3.697799	5.073263	0.550000
3.863552	5.133952	0.566667
3.868264	5.194266	0.583333
4.033972	5.315804	0.600000
3.716508	5.495877	0.616667
4.204436	5.437877	0.633333
4.209147	5.498607	0.650000
4.374900	5.560485	0.666667
4.379611	5.621394	0.683333
4.706451	5.623870	0.700000
4.711207	5.623870	0.716667
4.715872	5.746103	0.733333
4.881670	5.747550	0.750000
5.208556	5.689299	0.766667
4.891091	5.870140	0.783333
5.056889	5.871765	0.800000
5.222595	5.996516	0.816667
5.549480	5.938624	0.833333
5.393149	5.998381	0.850000
5.719942	6.064090	0.866667
5.724698	6.064090	0.883333
5.729316	6.249846	0.900000
5.895160	6.190091	0.916667
5.899823	6.314226	0.933333
6.065620	6.316628	0.950000
6.231418	6.319089	0.966667
6.397168	6.383946	0.983333
6.401878	6.446340	1.000000
6.406588	6.508794	1.016667
6.411250	6.633880	1.033333
6.738088	6.639697	1.050000
6.581710	6.762201	1.066667
6.586325	6.950809	1.083333
6.590892	7.203118	1.100000
7.239904	7.090627	1.116667
7.083525	7.213722	1.133333
7.410362	7.221090	1.150000
7.576206	7.161341	1.166667
7.580962	7.161341	1.183333
7.424536	7.348196	1.200000
7.751372	7.356042	1.216667
7.756081	7.419803	1.233333
8.082964	7.364127	1.250000
7.926538	7.551695	1.266667
8.253421	7.496199	1.283333
8.258226	7.432200	1.300000
8.262886	7.560258	1.316667
8.267595	7.624376	1.333333
8.594478	7.569059	1.350000
8.438051	7.757339	1.366667
8.603798	7.826364	1.383333
8.769545	7.895627	1.400000
8.774205	8.024873	1.416667
9.262224	7.845638	1.433333
8.944805	7.965128	1.450000
9.271737	7.845638	1.466667
9.276348	8.039954	1.483333
9.281007	8.169795	1.500000
9.607841	8.180387	1.516667
9.773782	7.990564	1.533333
9.778392	8.185773	1.550000
9.622110	8.180387	1.566667
9.787759	8.381516	1.583333
9.792515	8.381516	1.600000
10.119349	8.392824	1.616667
10.124007	8.523854	1.633333
10.289752	8.595381	1.650000
10.616585	8.607406	1.666667
10.621292	8.673248	1.683333
10.465011	8.667146	1.700000
10.630805	8.673248	1.716667
10.957687	8.619670	1.733333
10.801307	8.745371	1.750000
10.967002	8.883872	1.766667
11.132846	8.824133	1.783333
11.298641	8.830594	1.800000
11.142260	8.956591	1.816667
11.469042	9.036247	1.833333
11.473749	9.102743	1.850000
11.961768	8.923531	1.866667
11.805537	8.850334	1.883333
11.810293	8.850334	1.900000
11.814950	8.983268	1.916667
12.302869	8.937229	1.933333
12.146588	8.930350	1.950000
11.829020	9.249849	1.966667
12.316938	9.204287	1.983333
12.482732	9.211465	2.000000
12.487438	9.278437	2.016667
12.653182	9.352825	2.033333
12.496801	9.479711	2.050000
12.984769	9.367717	2.066667
12.828438	9.427452	2.083333
12.994131	9.569705	2.100000
13.159975	9.509972	2.116667
13.325768	9.517687	2.133333
13.330474	9.585195	2.150000
13.657456	9.398220	2.166667
13.339886	9.720388	2.183333
13.827854	9.608877	2.200000
13.832559	9.676623	2.216667
13.837367	9.608877	2.233333
13.842022	9.744429	2.250000
14.168851	9.760755	2.266667
14.173608	9.760755	2.283333
14.339401	9.769007	2.300000
14.183121	9.760755	2.316667
14.509899	9.845423	2.333333
14.514605	9.913586	2.350000
14.680346	9.990359	2.366667
14.685103	9.990359	2.383333
14.689757	10.127100	2.400000
14.855549	10.135830	2.416667
15.021291	10.213199	2.433333
15.348222	10.093742	2.450000
15.352927	10.162380	2.466667
15.518823	10.034013	2.483333
15.040214	10.350534	2.500000
15.689217	10.249197	2.516667
15.855113	10.120652	2.533333
15.698833	10.111622	2.550000
15.703487	10.249197	2.566667
16.030315	10.267555	2.583333
16.035071	10.267555	2.600000
16.200863	10.276824	2.616667
16.205568	10.345879	2.633333
16.210325	10.345879	2.650000
16.214926	10.553401	2.666667
16.541753	10.572595	2.683333
16.546510	10.572595	2.700000
16.873337	10.592029	2.716667
16.555866	10.781009	2.733333
17.204920	10.611702	2.750000
16.887450	10.800800	2.766667
17.375416	10.691338	2.783333
17.058050	10.741076	2.800000
17.384877	10.761108	2.816667
17.550721	10.701384	2.833333
17.394338	10.830936	2.850000
17.721165	10.851326	2.866667
18.048096	10.731881	2.883333
17.891765	10.791603	2.900000
18.057557	10.801889	2.916667
17.901173	10.931678	2.933333
18.066912	11.012268	2.950000
18.071616	11.082513	2.966667
18.398442	11.103740	2.983333
18.242111	11.163461	3.000000
18.407796	11.315189	3.016667
18.734728	11.195749	3.033333
18.900466	11.277293	3.050000
18.905328	11.136029	3.066667
19.071119	11.146912	3.083333
19.398103	10.956869	3.100000
19.080632	11.146912	3.116667
19.407511	11.098135	3.133333
19.412214	11.168857	3.150000
19.578111	11.038415	3.166667
19.421727	11.168857	3.183333
19.587465	11.250760	3.200000
19.592168	11.321661	3.216667
19.918993	11.344204	3.233333
19.762609	11.475000	3.250000
20.089487	11.426704	3.266667
19.771962	11.688593	3.283333
20.420961	11.592419	3.300000
20.264630	11.652135	3.316667
20.430367	11.735350	3.333333
20.435124	11.735350	3.350000
20.761948	11.759088	3.366667
20.605617	11.818803	3.383333
20.932441	11.842781	3.400000
20.937197	11.842781	3.416667
21.264129	11.723351	3.433333
20.785515	12.046140	3.450000
21.434513	11.951167	3.466667
21.439378	11.807283	3.483333
21.444081	11.879195	3.500000
21.609924	11.819481	3.516667
21.614519	12.035575	3.533333
21.619221	12.107725	3.550000
22.107294	11.856436	3.566667
22.112051	11.856436	3.583333
21.955666	11.988300	3.600000
21.960314	12.132779	3.616667
21.964962	12.277496	3.633333
22.452872	12.243316	3.650000
22.457629	12.243316	3.666667
22.623473	12.183605	3.683333
22.628229	12.183605	3.700000
22.632931	12.256172	3.716667
22.798721	12.269088	3.733333
23.125598	12.222353	3.750000
23.130354	12.222353	3.766667
23.135056	12.295099	3.783333
23.139758	12.367905	3.800000
23.466635	12.321350	3.816667
23.793621	12.129065	3.833333
23.476148	12.321350	3.850000
23.641937	12.334565	3.866667
23.807781	12.274856	3.883333
23.812483	12.347840	3.900000
23.817185	12.420884	3.916667
24.144061	12.374571	3.933333
24.148708	12.520956	3.950000
24.153520	12.447734	3.966667
24.158111	12.667580	3.983333
24.323900	12.681273	4.000000
24.489634	12.768547	4.016667
24.816510	12.722713	4.033333
24.821267	12.722713	4.050000
24.987111	12.663007	4.066667
24.669582	12.929757	4.083333
24.835371	12.943809	4.100000
25.162247	12.898215	4.116667
25.327924	13.060321	4.133333
25.332792	12.912388	4.150000
25.659668	12.866915	4.166667
25.664424	12.866915	4.183333
25.669125	12.940912	4.200000
25.673937	12.866915	4.216667
25.678583	13.014968	4.233333
26.005459	12.969676	4.250000
26.010104	13.118086	4.266667
26.337091	12.924444	4.283333
26.180704	13.058382	4.300000
26.346493	13.072974	4.316667
26.351193	13.147328	4.333333
26.678013	13.176809	4.350000
26.521738	13.162039	4.366667
26.848614	13.117107	4.383333
26.853314	13.191640	4.400000
27.180190	13.146829	4.416667
26.862827	13.191640	4.433333
27.511878	13.027425	4.450000
27.033372	13.206531	4.466667
27.521335	13.102078	4.483333
27.203804	13.370964	4.500000
27.208392	13.595633	4.516667
27.374124	13.686010	4.533333
27.862030	13.657227	4.550000
27.866786	13.657227	4.566667
28.032630	13.597528	4.583333
28.198418	13.613077	4.600000
28.042031	13.748082	4.616667
28.368962	13.628685	4.633333
28.373718	13.628685	4.650000
28.539449	13.719780	4.666667
28.544206	13.719780	4.683333
28.548849	13.870811	4.700000
28.875780	13.751416	4.716667
28.880594	13.675871	4.733333
