Thu Nov 07 13:39:45 2013


Number of Points = 564

Depth (nm)	Load (µN)	Time (s)
-4.433977	-0.046312	0.000000
-5.060785	-0.368630	0.016667
-6.008820	-0.201874	0.033333
-6.636125	0.218667	0.050000
-6.621349	0.218667	0.066667
-7.088040	0.394856	0.083333
-7.073513	0.766264	0.100000
-5.935311	0.355166	0.116667
-5.760170	0.482235	0.133333
-5.103312	0.061525	0.150000
-6.051471	0.413895	0.166667
-5.876206	0.355166	0.183333
-5.700940	0.296438	0.200000
-5.846653	0.355166	0.216667
-5.510898	0.237710	0.233333
-5.014654	0.061525	0.250000
-5.641959	0.482235	0.266667
-4.985225	0.247325	0.283333
-5.772896	0.540963	0.300000
-5.437265	0.609364	0.316667
-5.101510	0.491910	0.333333
-5.086734	0.491910	0.350000
-4.590490	0.315730	0.366667
-5.217795	0.736552	0.383333
-5.203018	0.736552	0.400000
-5.027877	0.863800	0.416667
-5.013101	0.863800	0.433333
-4.035514	0.697485	0.450000
-4.181102	0.570173	0.466667
-4.005836	0.511448	0.483333
-3.830571	0.452723	0.500000
-4.457751	0.687624	0.516667
-4.122121	0.756209	0.533333
-4.267834	0.814934	0.550000
-4.092693	0.942303	0.566667
-3.435959	0.707408	0.583333
-3.742162	0.824855	0.600000
-3.406407	0.707408	0.616667
-3.552120	0.766131	0.633333
-3.537343	0.766131	0.650000
-3.843670	1.069732	0.666667
-3.668404	1.011009	0.683333
-3.493139	0.952286	0.700000
-2.836530	0.903609	0.716667
-3.142857	1.207326	0.733333
-2.967467	0.962331	0.750000
-2.952690	0.962331	0.766667
-2.938039	1.148604	0.783333
-2.441670	0.786164	0.800000
-2.747997	1.089883	0.816667
-2.572731	1.031161	0.833333
-2.718444	1.089883	0.850000
-2.382814	1.158773	0.866667
-2.207548	1.100052	0.883333
-2.353261	1.158773	0.900000
-2.177995	1.100052	0.916667
-2.163344	1.286444	0.933333
-2.148692	1.472895	0.950000
-2.133791	1.286444	0.966667
-2.119140	1.472895	0.983333
-1.622895	1.296736	1.000000
-1.447630	1.238017	1.016667
-1.593343	1.296736	1.033333
-1.578566	1.296736	1.050000
-1.403426	1.424528	1.066667
-1.709628	1.541966	1.083333
-1.213383	1.365810	1.100000
-1.359221	1.611098	1.116667
-1.183956	1.552380	1.133333
-1.008690	1.493662	1.150000
-0.833424	1.434944	1.166667
-0.658284	1.562857	1.183333
-0.803997	1.621574	1.200000
-1.110199	1.739009	1.216667
-0.453590	1.690830	1.233333
-0.759793	1.808263	1.250000
-0.745016	1.808263	1.266667
-0.248897	1.818862	1.283333
-0.073757	1.946954	1.300000
-0.379834	1.877578	1.316667
-0.204693	2.005669	1.333333
-0.189917	2.005669	1.350000
-0.175140	2.005669	1.366667
0.000000	2.133820	1.383333
2.580848	3.816792	1.400000
3.878405	5.039067	1.416667
7.100182	8.021070	1.433333
11.605342	11.326450	1.450000
16.752174	14.823070	1.466667
22.540800	18.326644	1.483333
28.329787	21.292545	1.500000
33.797769	24.416420	1.516667
39.426345	27.323439	1.533333
44.734052	30.184846	1.550000
50.041871	32.879225	1.566667
54.868338	35.578003	1.583333
59.373532	38.831977	1.600000
64.520522	42.092733	1.616667
69.346647	45.300636	1.633333
74.493447	48.844301	1.650000
79.479590	52.697711	1.666667
84.786965	56.054000	1.683333
89.612705	59.836785	1.700000
94.919885	63.485298	1.716667
99.585082	67.407966	1.733333
104.410740	71.313067	1.750000
109.235781	76.138564	1.766667
114.381616	81.123486	1.783333
119.367222	85.777175	1.800000
124.352644	90.706864	1.816667
128.856410	96.092395	1.833333
134.162582	101.244917	1.850000
138.987094	106.860616	1.866667
143.811253	113.003627	1.883333
148.635522	118.981104	1.900000
153.619761	125.676831	1.916667
158.442977	133.226072	1.933333
162.945155	140.982268	1.950000
167.928411	149.143735	1.966667
172.751112	157.463748	1.983333
177.573244	166.631419	2.000000
182.555450	176.360588	2.016667
187.698230	185.904066	2.033333
192.840929	195.568835	2.050000
197.983547	205.354941	2.066667
202.965946	214.795200	2.083333
207.948094	224.611296	2.100000
213.411808	234.103452	2.116667
218.233675	243.666672	2.133333
223.537484	252.346339	2.150000
228.519703	262.056686	2.166667
233.822827	271.758445	2.183333
238.484114	281.515848	2.200000
243.626798	291.202573	2.216667
248.769796	300.421542	2.233333
253.431075	310.190657	2.250000
258.573173	320.752782	2.266667
263.715587	330.842510	2.283333
268.376272	341.499066	2.300000
273.357464	352.741695	2.316667
278.178290	363.858303	2.333333
283.480101	375.520026	2.350000
288.782443	386.389605	2.366667
293.603249	397.536156	2.383333
298.584265	409.042192	2.400000
303.725693	420.603242	2.416667
308.706559	432.332687	2.433333
313.848050	443.799924	2.450000
318.668709	455.167105	2.466667
323.649571	466.901847	2.483333
328.630361	478.743380	2.500000
333.931836	490.906451	2.516667
339.233678	502.521877	2.533333
343.733014	514.520574	2.550000
348.552808	527.178187	2.566667
353.533014	539.891634	2.583333
358.352202	553.453300	2.600000
363.492054	567.368319	2.616667
368.471332	581.467492	2.633333
373.611478	594.942419	2.650000
378.591293	608.239915	2.666667
383.570323	622.710025	2.683333
388.710231	636.540320	2.700000
393.529085	650.599555	2.716667
398.346893	666.222410	2.733333
403.486069	681.144910	2.750000
408.625159	696.196013	2.766667
413.924650	711.320419	2.783333
418.743343	725.621828	2.800000
423.561457	740.785953	2.816667
428.700716	755.585023	2.833333
433.358181	771.047879	2.850000
438.174765	788.495376	2.866667
443.473485	804.770537	2.883333
448.130429	821.010802	2.900000
453.588932	838.281330	2.916667
458.727422	854.228583	2.933333
463.705342	870.354161	2.950000
468.844470	885.348782	2.966667
473.180284	901.931601	2.983333
478.478391	919.121521	3.000000
483.615921	936.500849	3.016667
488.432113	954.534772	3.033333
493.569461	972.186695	3.050000
498.546790	989.194432	3.066667
503.523755	1006.745412	3.083333
508.340713	1023.635606	3.100000
513.155884	1043.193361	3.116667
518.292785	1061.512034	3.133333
523.268532	1080.881196	3.150000
528.565153	1100.289740	3.166667
533.541288	1119.079299	3.183333
538.517627	1137.564781	3.200000
543.813962	1157.399696	3.216667
548.630531	1174.871641	3.233333
553.285338	1194.300706	3.250000
558.742180	1214.049581	3.266667
563.395892	1235.112669	3.283333
569.013027	1255.097448	3.300000
573.668385	1273.704758	3.316667
578.483220	1293.763710	3.333333
583.619246	1313.387959	3.350000
588.594073	1334.130307	3.366667
593.730236	1353.550360	3.383333
598.384860	1373.252816	3.400000
603.198291	1395.406855	3.416667
608.492753	1418.036387	3.433333
613.306623	1439.536226	3.450000
617.958613	1463.169900	3.466667
623.413897	1485.244487	3.483333
628.227143	1507.675067	3.500000
633.682560	1529.551961	3.516667
638.656428	1551.726612	3.533333
643.469715	1574.094948	3.550000
648.604214	1595.999477	3.566667
653.256829	1618.700420	3.583333
658.229976	1641.948899	3.600000
663.523994	1665.242989	3.616667
668.496943	1688.787944	3.633333
673.470833	1710.929352	3.650000
678.443589	1734.761911	3.666667
683.255763	1758.793648	3.683333
687.745811	1784.653476	3.700000
692.876974	1811.535712	3.716667
698.169215	1837.481882	3.733333
703.141452	1862.089117	3.750000
708.594320	1887.771274	3.766667
713.888047	1911.498380	3.783333
718.379264	1935.613507	3.800000
723.511591	1960.759723	3.816667
728.162367	1986.204651	3.833333
733.133269	2012.805155	3.850000
738.585513	2039.417684	3.866667
743.237107	2063.642518	3.883333
748.529792	2088.925125	3.900000
753.501036	2115.015230	3.916667
758.631902	2142.341689	3.933333
763.764573	2166.973510	3.950000
768.414169	2194.180558	3.966667
773.705978	2220.769701	3.983333
778.035958	2246.061470	4.000000
783.165137	2275.904429	4.016667
788.777214	2303.437368	4.033333
793.266994	2329.698401	4.050000
798.718782	2356.990606	4.066667
803.851499	2381.555109	4.083333
808.501486	2408.178076	4.100000
813.793309	2434.746597	4.116667
818.283034	2461.089827	4.133333
823.252492	2489.846254	4.150000
828.542400	2519.272663	4.166667
833.511647	2548.344245	4.183333
838.963058	2576.198710	4.200000
843.773275	2603.150678	4.216667
848.904366	2630.140754	4.233333
853.715241	2656.110442	4.250000
858.363874	2684.754702	4.266667
863.653070	2715.244406	4.283333
868.783372	2743.412908	4.300000
873.432562	2771.224614	4.316667
878.563107	2799.029417	4.333333
883.372172	2827.701298	4.350000
888.500811	2858.351454	4.366667
893.630645	2887.217108	4.383333
898.438554	2917.613800	4.400000
903.566010	2950.028548	4.416667
908.535510	2978.721324	4.433333
913.503597	3009.524228	4.450000
918.632950	3039.108590	4.466667
923.280768	3068.968387	4.483333
928.409040	3100.166629	4.500000
933.697241	3132.141853	4.516667
939.147170	3162.208333	4.533333
943.956446	3190.564700	4.550000
948.764730	3220.401838	4.566667
953.733404	3250.327876	4.583333
958.221008	3279.836232	4.600000
963.347680	3313.421353	4.616667
968.475632	3345.097416	4.633333
973.443471	3376.269467	4.650000
978.730775	3409.583643	4.666667
983.698889	3440.344345	4.683333
988.505964	3471.985331	4.700000
993.633432	3504.384328	4.716667
998.278889	3537.767998	4.733333
1003.405205	3571.884672	4.750000
1008.532373	3604.730301	4.766667
1013.658962	3638.439629	4.783333
1018.624971	3672.343978	4.800000
1023.753295	3703.463741	4.816667
1028.721054	3734.755205	4.833333
1033.689215	3765.446721	4.850000
1038.654842	3799.920219	4.866667
1043.460382	3833.853209	4.883333
1048.104357	3869.449812	4.900000
1053.388648	3907.259903	4.916667
1058.674316	3943.015137	4.933333
1063.479947	3976.812505	4.950000
1068.604931	4012.917686	4.966667
1073.731827	4046.169148	4.983333
1078.376693	4080.435159	5.000000
1083.983821	4115.354341	5.016667
1088.949452	4149.822881	5.033333
1093.595570	4182.219840	5.050000
1098.400027	4217.769190	5.066667
1103.525855	4252.613851	5.083333
1108.490594	4288.413416	5.100000
1113.615191	4325.096169	5.116667
1118.580253	4360.413472	5.133333
1123.545220	4395.871953	5.150000
1128.507988	4434.612562	5.166667
1133.792127	4472.651226	5.183333
1138.114361	4509.502951	5.200000
1143.397757	4548.648971	5.216667
1148.843122	4585.529445	5.233333
1153.809104	4619.473305	5.250000
1158.611836	4657.596220	5.266667
1164.057989	4693.299309	5.283333
1168.541196	4729.369729	5.300000
1173.503564	4768.708233	5.316667
1177.984398	4808.320808	5.333333
1183.266406	4849.539226	5.350000
1188.709874	4889.249957	5.366667
1193.512439	4927.622947	5.383333
1198.493653	4938.832677	5.400000
1198.366735	4910.838798	5.416667
1196.342081	4841.556560	5.433333
1192.563334	4756.072407	5.450000
1188.308091	4663.342533	5.466667
1183.412528	4568.404372	5.483333
1178.194889	4475.221585	5.500000
1173.135567	4385.221459	5.516667
1167.756816	4293.026276	5.533333
1162.372834	4208.639133	5.550000
1157.627186	4129.425487	5.566667
1152.723645	4046.394451	5.583333
1147.498138	3964.953986	5.600000
1141.951176	3884.342966	5.616667
1137.204132	3807.212962	5.633333
1131.653254	3732.445797	5.650000
1126.904807	3657.409730	5.666667
1121.673507	3584.614934	5.683333
1116.762252	3513.098650	5.700000
1111.851039	3441.517547	5.716667
1106.778442	3371.331326	5.733333
1101.221658	3305.381140	5.750000
1096.308243	3237.087291	5.766667
1091.394408	3169.420329	5.783333
1086.799758	3104.313791	5.800000
1081.883304	3040.555612	5.816667
1076.807315	2975.432736	5.833333
1071.891394	2910.878479	5.850000
1066.173095	2846.517196	5.866667
1061.415101	2785.729365	5.883333
1056.335766	2725.599687	5.900000
1051.256901	2664.769927	5.916667
1046.499023	2603.808460	5.933333
1040.936255	2546.788682	5.950000
1036.174706	2491.306739	5.966667
1030.932182	2435.266306	5.983333
1026.008638	2382.090300	6.000000
1021.086768	2326.416148	6.016667
1015.843960	2270.798095	6.033333
1011.080648	2217.948517	6.050000
1006.156896	2165.083592	6.066667
1000.749410	2115.776630	6.083333
996.144020	2066.699394	6.100000
991.059517	2014.283838	6.116667
985.972768	1965.219443	6.133333
981.207397	1915.442114	6.150000
975.960965	1865.233665	6.166667
970.874291	1816.058342	6.183333
965.945945	1770.049565	6.200000
960.856442	1725.097027	6.216667
955.766628	1680.607209	6.233333
950.514971	1638.197509	6.250000
945.906348	1593.946744	6.266667
940.977125	1549.246917	6.283333
935.886408	1506.104663	6.300000
930.955524	1463.884197	6.316667
925.703030	1422.724487	6.333333
920.770216	1383.384562	6.350000
915.517778	1342.140439	6.366667
910.584062	1304.146360	6.383333
906.132802	1264.502552	6.400000
900.558789	1224.265615	6.416667
895.624214	1187.554950	6.433333
890.689980	1150.333337	6.450000
885.433879	1114.557207	6.466667
880.337083	1080.488418	6.483333
875.400519	1046.746412	6.500000
870.464881	1011.621022	6.516667
865.529255	976.478519	6.533333
860.271215	943.594674	6.550000
855.332460	913.123077	6.566667
850.393192	883.415407	6.583333
845.615026	852.734738	6.600000
840.838278	819.939511	6.616667
835.739457	788.892503	6.633333
830.639837	759.039261	6.650000
825.540770	728.361405	6.666667
819.958659	700.211517	6.683333
815.338972	672.472235	6.700000
810.076338	646.446850	6.716667
805.616436	619.700605	6.733333
800.674851	593.451311	6.750000
795.251832	567.328696	6.766667
790.309800	541.747649	6.783333
785.367302	516.860433	6.800000
780.423629	493.728030	6.816667
775.961936	469.655027	6.833333
770.376154	446.985291	6.850000
765.592609	424.333191	6.866667
760.327174	402.486795	6.883333
755.542331	381.772277	6.900000
750.436783	360.766984	6.916667
745.009852	340.483374	6.933333
740.063111	321.929669	6.950000
734.795455	303.399807	6.966667
730.008461	285.895105	6.983333
725.542297	268.494985	7.000000
720.113685	250.719654	7.016667
