Thu Nov 07 13:50:41 2013

Number of Points = 1051
Depth (nm)	Load (µN)	Time (s)
-6.101195	-0.685399	0.000000
-6.894666	-0.391799	0.016667
-7.206669	-0.274359	0.033333
-7.839775	0.146989	0.050000
-7.188967	0.098642	0.066667
-7.500970	0.216079	0.083333
-6.208080	-0.253669	0.100000
-6.680573	-0.077514	0.116667
-6.190254	-0.067077	0.133333
-5.378832	-0.360666	0.150000
-5.048878	-0.478101	0.166667
-4.879163	-0.909957	0.183333
-5.512145	-0.675080	0.200000
-7.750019	0.146989	0.216667
-7.259825	0.343948	0.233333
-8.214036	1.069596	0.250000
-5.958335	0.434334	0.266667
-4.986424	0.082040	0.283333
-4.335366	-0.339597	0.300000
-4.486755	-0.467597	0.316667
-5.119736	-0.232729	0.333333
-5.592353	0.130134	0.350000
-5.904356	0.247566	0.366667
-5.895506	0.434334	0.383333
-4.923594	0.082040	0.400000
-5.075108	0.140756	0.416667
-4.584665	-0.035391	0.433333
-4.094221	-0.211537	0.450000
-4.406349	0.092726	0.466667
-4.236884	0.034011	0.483333
-4.388273	-0.094106	0.500000
-5.181744	0.199472	0.516667
-4.530936	0.151441	0.533333
-4.521960	0.151441	0.550000
-4.673599	0.397045	0.566667
-4.183281	0.407853	0.583333
-4.334669	0.279617	0.600000
-3.523373	0.172999	0.616667
-3.835250	0.103475	0.633333
-4.147379	0.407853	0.650000
-3.656935	0.231713	0.666667
-3.968938	0.349139	0.683333
-3.478620	0.360010	0.700000
-3.790623	0.477435	0.716667
-3.621283	0.605791	0.733333
-2.809736	0.125160	0.750000
-3.282353	0.488367	0.766667
-2.791785	0.125160	0.783333
-3.424766	0.360010	0.800000

-3.415916	0.547079	0.816667
-3.246451	0.488367	0.833333
-3.237601	0.675495	0.850000
-2.907646	0.558073	0.866667
-2.898796	0.745261	0.883333
-2.889821	0.745261	0.900000
-2.078399	0.451709	0.916667
-2.230038	0.697668	0.933333
-2.220937	0.510419	0.950000
-2.693429	0.686550	0.966667
-2.684579	0.873797	0.983333
-2.675728	1.061102	1.000000
-2.185285	0.884975	1.016667
-2.015820	0.826266	1.033333
-1.525377	0.650139	1.050000
-1.516401	0.650139	1.066667
-1.507551	0.837507	1.083333
-1.980043	1.013632	1.100000
-2.292172	1.318471	1.116667
-1.801854	1.329832	1.133333
-1.632263	1.083641	1.150000
-1.142071	1.282549	1.166667
-1.132970	1.095005	1.183333
-1.123994	1.095005	1.200000
-0.473061	0.860178	1.216667
-0.785064	0.977592	1.233333
-0.776089	0.977592	1.250000
-0.767113	0.977592	1.266667
-0.918752	1.223843	1.283333
-0.588798	1.106431	1.300000
-0.740312	1.165137	1.316667
-0.410483	1.235331	1.333333
0.079960	1.059215	1.350000
-0.232043	1.176626	1.366667
-0.223067	1.176626	1.383333
-0.374581	1.235331	1.400000
-0.365731	1.422995	1.416667
-0.356755	1.422995	1.433333
-0.187416	1.552013	1.450000
0.303027	1.375901	1.466667
0.472492	1.317198	1.483333
0.000000	1.493309	1.500000
1.131519	2.398113	1.516667
1.942184	3.234682	1.533333
4.357107	4.431615	1.550000
6.611408	5.884367	1.566667
9.026193	7.287087	1.583333
12.243418	8.405165	1.600000
14.337213	9.942541	1.616667
17.072830	11.446728	1.633333
19.808569	12.767569	1.650000
22.383684	14.349965	1.666667
24.959183	15.357686	1.683333
27.694906	16.703896	1.700000
29.949155	18.234594	1.716667
33.005976	19.284045	1.733333
35.099858	20.692341	1.750000
37.835558	22.071900	1.766667
40.250274	23.577287	1.783333
42.986096	24.774553	1.800000
45.400801	26.296596	1.816667
47.655146	27.684791	1.833333
50.390683	29.308190	1.850000
53.126484	30.536767	1.866667
55.380813	31.948210	1.883333
57.955843	33.657598	1.900000
60.370513	35.231038	1.916667
62.785040	37.018493	1.933333
65.360050	38.757653	1.950000
67.935191	40.300133	1.966667
70.670954	41.585350	1.983333
73.085595	43.202984	2.000000
75.339741	44.887736	2.016667
77.754089	46.942130	2.033333
80.168430	49.008304	2.050000
83.064371	50.699702	2.066667
85.639469	52.306016	2.083333
88.214562	53.921051	2.100000
90.629446	55.176304	2.116667
92.562141	57.683283	2.133333
95.458049	59.423477	2.150000
97.711706	61.838972	2.166667
100.125987	63.992859	2.183333
102.860947	66.477218	2.200000
105.435701	68.598094	2.216667
107.850105	70.569741	2.233333
110.585480	72.435054	2.250000
112.839381	74.485385	2.266667
115.414104	76.651056	2.283333
118.149309	78.770328	2.300000
120.081762	81.639355	2.316667
122.816799	84.008270	2.333333
125.230849	86.507158	2.350000
127.484250	89.303915	2.366667
130.058467	92.226854	2.383333
132.311541	95.511678	2.400000
134.885579	98.699617	2.416667
137.138627	102.023229	2.433333
139.551841	105.771140	2.450000
141.965038	109.542965	2.466667
144.538395	113.748628	2.483333
147.112048	117.512637	2.500000
149.525196	121.358630	2.516667
151.938168	125.466181	2.533333
154.350803	130.078000	2.550000
157.084555	134.365121	2.566667
159.336984	138.613468	2.583333
162.070698	142.957217	2.600000
164.322763	147.747850	2.616667
167.056438	152.150853	2.633333
169.629604	156.640726	2.650000
172.042262	161.217411	2.666667
174.455068	165.573644	2.683333
177.349323	169.782903	2.700000
179.761925	174.443888	2.716667
182.495654	178.765148	2.733333
184.587581	183.089457	2.750000
187.481765	187.404683	2.766667
189.573659	191.778105	2.783333
192.307319	196.202756	2.800000
194.880473	200.711574	2.816667
197.454307	204.205333	2.833333
199.706977	208.093085	2.850000
202.119595	212.730194	2.866667
204.853172	217.278620	2.883333
207.265754	221.968682	2.900000
209.838986	226.361395	2.916667
212.572510	230.988156	2.933333
214.985580	234.950453	2.950000
217.237787	239.529150	2.966667
219.810955	244.016968	2.983333
222.223436	248.858464	3.000000
224.796571	253.395643	3.016667
227.529994	258.174147	3.033333
230.424442	262.094521	3.050000
232.676923	266.263912	3.066667
235.089879	270.395506	3.083333
237.502636	274.825601	3.100000
239.915378	279.277460	3.116667
242.327917	284.032345	3.133333
244.900739	289.036594	3.150000
247.634221	293.726456	3.166667
249.725734	298.669249	3.183333
252.459184	303.407401	3.200000
254.871641	308.284032	3.216667
257.123401	313.530397	3.233333
259.695925	318.978894	3.250000
262.268430	324.456551	3.266667
265.001599	329.613901	3.283333
267.413971	334.618332	3.300000
270.147303	339.532902	3.316667
272.399352	344.346682	3.333333
274.811676	349.422358	3.350000
277.223784	354.820499	3.366667
279.956850	360.131424	3.383333
282.208031	366.241485	3.400000
284.780167	372.269625	3.416667
287.191590	378.690201	3.433333
289.763887	384.478366	3.450000
292.014777	391.022151	3.466667
294.586620	397.487050	3.483333
297.158440	403.986656	3.500000
299.891141	409.842870	3.516667
302.463543	415.473100	3.533333
305.196416	421.073391	3.550000
307.287740	426.298139	3.566667
309.860302	431.690384	3.583333
312.111447	437.853461	3.600000
314.522421	444.943737	3.616667
317.094287	451.375722	3.633333
320.147594	457.670279	3.650000
322.399088	463.312256	3.666667
324.971109	469.512515	3.683333
327.222352	475.530035	3.700000
330.115309	481.674817	3.716667
332.206028	487.803292	3.733333
334.777752	494.446743	3.750000
