Thu Mar 28 15:29:30 2019


Number of Points = 15298

Depth (nm)	Load (µN)	Time (s)
-1.899503	-0.782667	0.000000
-2.687898	-1.330189	0.016667
-3.637841	-1.203078	0.033333
-3.460381	-1.216659	0.050000
-4.249445	-0.871335	0.066667
-3.588722	-1.064218	0.083333
-4.055612	-0.838392	0.100000
-3.555976	-0.971348	0.116667
-3.861814	-0.758627	0.133333
-3.362214	-0.844701	0.150000
-3.829103	-0.618522	0.166667
-3.490591	-0.644432	0.183333
-3.474219	-0.597492	0.200000
-3.135706	-0.623044	0.216667
-3.280386	-0.563239	0.233333
-3.264085	-0.421706	0.250000
-3.247713	-0.374410	0.266667
-3.070289	-0.339443	0.283333
-3.053916	-0.291969	0.300000
-2.876528	-0.208992	0.316667
-2.860192	-0.113508	0.333333
-2.843821	-0.065676	0.350000
-2.666469	0.066440	0.366667
-2.650062	0.066440	0.383333
-2.472675	0.151201	0.400000
-2.456304	0.199508	0.416667
-2.117793	0.176697	0.433333
-2.262546	0.333527	0.450000
-2.085087	0.322330	0.466667
-2.068753	0.419716	0.483333
-1.730207	0.348898	0.500000
-1.874960	0.506441	0.516667
-1.375326	0.376003	0.533333
-1.681131	0.544621	0.550000
-1.503672	0.533902	0.566667
-1.648389	0.642839	0.583333
-1.470968	0.681496	0.600000
-1.776846	0.949221	0.616667
-1.277250	0.868877	0.633333
-1.260917	0.968165	0.650000
-1.244547	1.017898	0.666667
-0.906039	0.997948	0.683333
-0.889706	1.097830	0.700000
-0.712248	1.088065	0.716667
-0.534791	1.078359	0.733333
-0.518421	1.128508	0.750000
-0.663138	1.238512	0.766667
-0.485681	1.228985	0.783333
-0.469311	1.279312	0.800000
-0.291929	1.370856	0.816667
-0.114472	1.361627	0.833333
-0.259190	1.472046	0.850000
-0.242820	1.522729	0.866667
-0.065439	1.615344	0.883333
-0.049070	1.666266	0.900000
0.289475	1.597661	0.916667
0.305844	1.648702	0.933333
0.000000	1.870546	0.950000
0.821691	1.776819	0.966667
0.676818	2.094488	0.983333
1.014971	2.547469	1.000000
1.675174	3.047434	1.016667
2.496416	3.553351	1.033333
3.156394	4.352888	1.050000
4.460791	4.822195	1.066667
5.442871	5.600292	1.083333
6.425108	6.168192	1.100000
7.246113	6.989371	1.116667
8.550364	7.652759	1.133333
9.371383	8.455178	1.150000
10.675744	8.972184	1.166667
11.657871	9.687597	1.183333
12.801169	10.231225	1.200000
13.622234	10.973240	1.216667
14.926499	11.617799	1.233333
15.747641	12.256422	1.250000
16.890949	12.787269	1.266667
17.711970	13.587441	1.283333
19.177433	14.023897	1.300000
19.837558	14.629127	1.316667
20.980723	15.349929	1.333333
21.640778	16.047583	1.350000
22.945065	16.663004	1.366667
24.088311	17.277378	1.383333
25.070516	17.888193	1.400000
26.052770	18.433424	1.416667
27.195991	19.080392	1.433333
28.339377	19.507405	1.450000
29.160699	19.905567	1.466667
30.303958	20.502497	1.483333
31.125152	21.070564	1.500000
32.268576	21.446784	1.516667
33.250788	22.049358	1.533333
34.233054	22.579439	1.550000
35.215253	23.198501	1.566667
36.358656	23.601638	1.583333
37.179881	24.130075	1.600000
38.484300	24.569124	1.616667
39.305515	25.110117	1.633333
40.448964	25.453001	1.650000
41.270171	26.005356	1.666667
42.735722	26.325124	1.683333
43.234810	26.922200	1.700000
44.539331	27.225935	1.716667
45.521608	27.741390	1.733333
46.665034	28.115010	1.750000
47.486348	28.524071	1.766667
48.629834	28.817716	1.783333
49.451209	29.144882	1.800000
50.433602	29.505348	1.816667
51.738167	29.750421	1.833333
52.720554	30.118568	1.850000
53.380764	30.609773	1.866667
54.524164	31.017937	1.883333
55.506542	31.398074	1.900000
56.649935	31.815418	1.916667
57.793605	31.863956	1.933333
58.453730	32.467658	1.950000
59.597114	32.897425	1.966667
60.579620	33.107183	1.983333
61.884228	33.295051	2.000000
62.705572	33.664629	2.016667
63.849160	33.822024	2.033333
64.831731	33.944916	2.050000
65.814229	34.165872	2.066667
66.635637	34.448572	2.083333
67.618059	34.771194	2.100000
68.600478	35.096761	2.116667
70.066157	35.246566	2.133333
70.726619	35.401576	2.150000
71.709033	35.734727	2.166667
72.691444	36.070824	2.183333
73.996177	36.091473	2.200000
74.656485	36.451780	2.216667
75.800053	36.635579	2.233333
76.621370	37.041344	2.250000
77.926173	36.968263	2.266667
78.586399	37.438214	2.283333
79.890972	37.672915	2.300000
80.873521	37.825357	2.316667
82.017233	37.817404	2.333333
82.838770	37.929507	2.350000
83.982326	38.129246	2.366667
84.964948	38.184230	2.383333
85.786327	38.506667	2.400000
86.768870	38.667874	2.416667
87.751333	38.934755	2.433333
88.894960	39.039755	2.450000
90.038586	39.146272	2.466667
90.860116	39.268291	2.483333
91.842653	39.437057	2.500000
92.664022	39.772518	2.516667
93.968651	39.931590	2.533333
94.951184	40.105494	2.550000
95.933796	40.174288	2.566667
97.077655	39.970994	2.583333
97.899178	40.100764	2.600000
99.042875	40.112481	2.616667
99.864317	40.351657	2.633333
100.846925	40.425069	2.650000
101.829452	40.607459	2.666667
102.973064	40.731858	2.683333
103.794583	40.868171	2.700000
104.938194	40.995299	2.716667
105.759711	41.133793	2.733333
106.742150	41.432593	2.750000
107.724588	41.733566	2.766667
109.029364	41.697459	2.783333
109.850794	41.951145	2.800000
110.994564	41.866132	2.816667
111.977080	42.062757	2.833333
113.120849	41.979212	2.850000
113.942442	42.015187	2.866667
114.924789	42.438313	2.883333
115.907468	42.416630	2.900000
116.890147	42.395499	2.916667
117.872658	42.599405	2.933333
119.177426	42.573306	2.950000
119.676842	42.732791	2.966667
120.820268	43.107036	2.983333
121.641687	43.376167	3.000000
123.107453	43.408948	3.016667
123.928955	43.567092	3.033333
125.072717	43.493086	3.050000
126.055305	43.593473	3.066667
126.876805	43.754292	3.083333
127.698219	44.031001	3.100000
128.841719	44.305593	3.116667
129.985391	44.351145	3.133333
131.129062	44.397674	3.150000
131.950732	44.332132	3.166667
132.933315	44.439578	3.183333
133.754810	44.607443	3.200000
135.059478	44.714615	3.216667
136.042146	44.708319	3.233333
136.863639	44.879104	3.250000
138.007305	44.931983	3.266667
138.828796	45.104714	3.283333
139.811286	45.336852	3.300000
140.793863	45.452334	3.316667
141.937348	45.746245	3.333333
142.919923	45.864161	3.350000
143.902408	46.102066	3.366667
145.046158	46.043494	3.383333
146.028821	46.044900	3.400000
146.528131	46.344740	3.416667
147.832787	46.468366	3.433333
148.654271	46.651550	3.450000
149.797928	46.716875	3.466667
150.941494	46.903880	3.483333
151.763156	46.848402	3.500000
152.584546	47.156363	3.516667
153.889287	47.166189	3.533333
154.871945	47.174203	3.550000
155.693423	47.363964	3.566667
156.675988	47.495294	3.583333
157.980818	47.386527	3.600000
158.802295	47.578970	3.616667
159.946037	47.530897	3.633333
160.767512	47.725048	3.650000
161.911253	47.678267	3.666667
162.249373	48.175660	3.683333
164.037184	48.263760	3.700000
164.858841	48.214433	3.716667
165.680313	48.413456	3.733333
166.662778	48.678448	3.750000
167.806515	48.636270	3.766667
168.789165	48.654030	3.783333
169.932809	48.737951	3.800000
170.754277	48.941609	3.816667
171.736925	48.961393	3.833333
172.719479	49.107383	3.850000
173.702032	49.254349	3.866667
174.684395	49.654739	3.883333
175.828034	49.744775	3.900000
176.649498	49.954523	3.916667
177.954222	49.987153	3.933333
178.775779	50.071634	3.950000
179.758423	50.097305	3.966667
180.902059	50.191754	3.983333
181.723519	50.405899	4.000000
182.544978	50.621017	4.016667
183.849698	50.659050	4.033333
184.832340	50.688221	4.050000
185.653797	50.906027	4.066667
186.636245	51.194491	4.083333
187.779778	51.425130	4.100000
188.762514	51.327913	4.116667
189.745056	51.490281	4.133333
191.049966	51.275128	4.150000
191.710332	51.557650	4.166667
192.692970	51.592166	4.183333
193.836596	51.698386	4.200000
194.658047	51.924255	4.216667
195.801672	52.032436	4.233333
196.945395	52.010389	4.250000
197.766844	52.238947	4.266667
198.427206	52.527806	4.283333
199.893002	52.521017	4.300000
200.875636	52.561067	4.316667
201.858169	52.733971	4.333333
203.001789	52.848535	4.350000
203.823434	52.817210	4.366667
204.806165	52.726818	4.383333
205.627510	53.095070	4.400000
206.771127	53.212829	4.416667
207.592470	53.583819	4.433333
208.897173	53.644476	4.450000
209.557527	53.943340	4.466667
211.023417	53.812304	4.483333
212.006045	53.859740	4.500000
212.827686	53.832371	4.516667
213.810212	54.015575	4.533333
214.631752	54.123972	4.550000
215.614175	54.444216	4.566667
216.757786	54.571064	4.583333
217.740411	54.622378	4.600000
218.722831	54.946289	4.616667
219.705353	55.135371	4.633333
220.848961	55.266149	4.650000
221.670496	55.379698	4.666667
222.975190	55.452917	4.683333
224.119002	55.312059	4.700000
224.779655	55.212085	4.716667
225.601189	55.327489	4.733333
226.744691	55.600091	4.750000
227.727415	55.519884	4.766667
228.548740	55.913177	4.783333
229.692239	56.189452	4.800000
230.835737	56.467256	4.816667
231.657372	56.448424	4.833333
232.962164	56.391011	4.850000
234.105972	56.254279	4.866667
234.927502	56.375589	4.883333
235.910223	56.298744	4.900000
236.731752	56.420980	4.916667
237.875455	56.425257	4.933333
238.535686	56.887905	4.950000
239.196232	56.931183	4.966667
239.857198	56.413878	4.983333
240.518584	55.337398	5.000000
240.213654	54.339976	5.016667
240.391775	53.446268	5.033333
239.925441	52.930337	5.050000
239.942368	52.238107	5.066667
239.798103	51.744670	5.083333
239.976115	50.995856	5.100000
239.831642	50.779732	5.116667
239.687376	50.288929	5.133333
239.381815	50.132805	5.150000
239.720397	50.014249	5.166667
239.415042	49.584165	5.183333
239.753829	49.191641	5.200000
239.448165	49.173312	5.216667
239.625660	49.114030	5.233333
239.481186	48.899708	5.250000
239.497799	48.626344	5.266667
239.514411	48.353218	5.283333
239.369834	48.276030	5.300000
239.547431	48.080331	5.316667
239.563941	47.943977	5.333333
239.258277	47.926257	5.350000
239.596859	47.807683	5.366667
239.291296	47.653849	5.383333
239.307602	47.790023	5.400000
239.485199	47.594562	5.416667
239.501811	47.322392	5.433333
239.357233	47.245687	5.450000
239.373539	47.381681	5.466667
239.551136	47.186397	5.483333
239.245369	47.304976	5.500000
239.584155	46.914586	5.516667
239.439577	46.838061	5.533333
239.617174	46.643014	5.550000
239.311509	46.625901	5.566667
239.489105	46.430973	5.583333
239.344528	46.354689	5.600000
239.522124	46.159879	5.616667
239.377546	46.083716	5.633333
239.394055	45.948319	5.650000
239.249376	46.007614	5.666667
239.426871	45.948319	5.683333
239.443278	45.948319	5.700000
239.298701	45.872277	5.716667
239.476297	45.677705	5.733333
239.331617	45.737000	5.750000
239.186938	45.796296	5.766667
239.525621	45.542487	5.783333
239.380942	45.601783	5.800000
239.558538	45.407329	5.816667
239.413960	45.331527	5.833333
239.269280	45.390825	5.850000
239.446775	45.331527	5.866667
239.463081	45.466625	5.883333
239.479692	45.196489	5.900000
239.173925	45.315085	5.916667
239.351420	45.255787	5.933333
239.367828	45.255787	5.950000
239.545525	44.926592	5.966667
239.400845	44.985891	5.983333
239.417455	44.716233	6.000000
239.272675	44.910331	6.016667
239.450271	44.716233	6.033333
239.305692	44.640795	6.050000
239.322100	44.640795	6.066667
239.338508	44.640795	6.083333
239.355016	44.506116	6.100000
239.371424	44.506116	6.116667
239.226643	44.700095	6.133333
239.404239	44.506116	6.150000
239.259661	44.430798	6.166667
239.437055	44.506116	6.183333
239.292577	44.296239	6.200000
239.631159	44.177635	6.216667
239.325493	44.161740	6.233333
239.503089	43.967997	6.250000
239.358308	44.161740	6.266667
239.213730	44.086603	6.283333
239.230138	44.086603	6.300000
239.568719	43.967997	6.316667
239.424141	43.892920	6.333333
239.279461	43.952223	6.350000
239.295869	43.952223	6.366667
239.473364	43.892920	6.383333
239.328785	43.817904	6.400000
239.345193	43.817904	6.416667
239.200513	43.877208	6.433333
239.377907	43.952223	6.450000
239.555704	43.490139	6.466667
239.410924	43.683644	6.483333
239.588519	43.490139	6.500000
239.443941	43.415303	6.516667
239.299462	43.206508	6.533333
239.154682	43.399834	6.550000
239.171090	43.399834	6.566667
239.348484	43.474609	6.583333
239.364992	43.340528	6.600000
239.381400	43.340528	6.616667
239.397908	43.206508	6.633333
239.253128	43.399834	6.650000
239.430724	43.206508	6.666667
239.286044	43.265814	6.683333
239.463539	43.206508	6.700000
239.318960	43.131854	6.716667
239.657542	43.013240	6.733333
239.351976	42.864112	6.750000
239.368183	43.131854	6.766667
239.062617	42.982728	6.783333
239.239911	43.191161	6.800000
239.417506	42.997953	6.816667
239.433914	42.997953	6.833333
239.128047	43.250468	6.850000
239.466729	42.997953	6.866667
239.322150	42.923420	6.883333
239.499745	42.730331	6.900000
239.355266	42.522257	6.916667
239.210387	42.848948	6.933333
239.387881	42.789640	6.950000
239.243202	42.848948	6.966667
239.420596	42.923420	6.983333
239.276117	42.715227	7.000000
239.453813	42.388656	7.016667
239.308933	42.715227	7.033333
239.486628	42.388656	7.050000
239.341848	42.581567	7.066667
239.519343	42.522257	7.083333
239.213677	42.507276	7.100000
239.552359	42.255114	7.116667
