Mon Apr 01 15:15:51 2019


Number of Points = 15778

Depth (nm)	Load (µN)	Time (s)
-2.895822	-0.798084	0.000000
-3.361598	-1.349598	0.016667
-3.505669	-1.393271	0.033333
-3.810906	-1.273696	0.050000
-3.632842	-1.385125	0.066667
-3.776991	-1.325337	0.083333
-3.760053	-1.325337	0.100000
-4.065329	-1.154120	0.116667
-3.726254	-1.221995	0.133333
-4.031569	-0.998841	0.150000
-3.853621	-0.954813	0.166667
-3.997849	-0.790974	0.183333
-3.658814	-0.806257	0.200000
-3.641954	-0.701730	0.216667
-3.463968	-0.709163	0.233333
-3.608156	-0.596966	0.250000
-3.591336	-0.439376	0.266667
-3.413390	-0.393804	0.283333
-3.074395	-0.354891	0.300000
-3.218585	-0.242162	0.316667
-3.040638	-0.195877	0.333333
-3.184828	-0.082971	0.350000
-3.006882	-0.036329	0.366667
-2.990024	0.070332	0.383333
-2.650991	0.057668	0.400000
-2.634133	0.164804	0.416667
-2.295060	0.098899	0.433333
-2.439250	0.212396	0.450000
-2.261305	0.260227	0.466667
-2.244407	0.314121	0.483333
-2.227550	0.422088	0.500000
-1.888478	0.356601	0.516667
-1.871621	0.464924	0.533333
-1.854683	0.464924	0.550000
-1.998913	0.633263	0.566667
-1.820969	0.682282	0.583333
-1.965200	0.851094	0.600000
-1.465082	0.781032	0.616667
-1.448185	0.835757	0.633333
-1.431329	0.945385	0.650000
-1.414432	1.000288	0.666667
-1.075401	0.990719	0.683333
-1.380679	1.165351	0.700000
-1.041649	1.156139	0.716667
-0.863665	1.151622	0.733333
-0.685681	1.147166	0.750000
-0.991001	1.377529	0.766667
-0.651971	1.369032	0.783333
-0.796162	1.484420	0.800000
-0.618220	1.536053	0.816667
-0.923541	1.767244	0.833333
-0.423424	1.699806	0.850000
-0.406528	1.755836	0.866667
-0.228586	1.808301	0.883333
-0.372778	1.924281	0.900000
-0.194879	2.033487	0.916667
-0.016853	1.973716	0.933333
0.000000	2.086665	0.950000
-0.144234	2.259622	0.966667
0.517054	2.020541	0.983333
0.211689	2.310306	1.000000
0.711762	2.301757	1.016667
0.567441	2.590034	1.033333
0.906296	2.815041	1.050000
1.084061	3.101952	1.066667
1.584044	3.213188	1.083333
1.761762	3.562658	1.100000
2.261654	3.795513	1.116667
2.600545	3.972159	1.133333
2.778258	4.329525	1.150000
3.117101	4.569859	1.166667
3.616984	4.813116	1.183333
3.633649	5.177593	1.200000
3.972395	5.547378	1.216667
4.472272	5.799370	1.233333
4.488838	6.295780	1.250000
5.149798	6.494264	1.266667
5.488580	6.815156	1.283333
6.149536	7.019472	1.300000
6.166283	7.274088	1.316667
6.827283	7.418827	1.333333
7.005068	7.680473	1.350000
7.343890	7.948618	1.366667
7.682662	8.284071	1.383333
8.021530	8.491328	1.400000
8.199309	8.759805	1.416667
8.699213	8.976420	1.433333
8.876940	9.314638	1.450000
9.537877	9.542696	1.466667
9.715702	9.751118	1.483333
10.054512	10.035670	1.500000
10.393371	10.254524	1.516667
10.732178	10.543000	1.533333
10.909947	10.824846	1.550000
11.409839	11.057525	1.566667
11.748641	11.352066	1.583333
11.926407	11.638963	1.600000
12.587434	11.748197	1.616667
12.765250	11.968032	1.633333
12.942959	12.329423	1.650000
13.603983	12.443128	1.666667
13.781636	12.879488	1.683333
14.281730	12.842628	1.700000
14.459541	13.068171	1.716667
14.637299	13.366363	1.733333
15.137175	13.618685	1.750000
15.314876	13.992557	1.766667
15.653662	14.308866	1.783333
16.314731	14.361726	1.800000
16.492482	14.667944	1.816667
16.670232	14.975647	1.833333
16.847925	15.358790	1.850000
17.508879	15.564988	1.866667
18.008856	15.683749	1.883333
18.347801	15.788370	1.900000
18.686746	15.893528	1.916667
18.864546	16.134057	1.933333
19.203433	16.315849	1.950000
19.381175	16.633960	1.966667
19.881034	16.910220	1.983333
20.058888	17.078996	2.000000
20.558687	17.435101	2.016667
20.736483	17.682530	2.033333
21.236394	17.888712	2.050000
21.414187	18.138283	2.066667
21.914097	18.347147	2.083333
22.252976	18.539183	2.100000
22.914030	18.612823	2.116667
22.930850	18.769351	2.133333
23.430815	18.904099	2.150000
23.447517	19.218818	2.166667
23.786334	19.494211	2.183333
24.286297	19.632060	2.200000
24.464084	19.890201	2.216667
24.802958	20.089627	2.233333
25.141651	20.530413	2.250000
25.480462	20.812952	2.266667
25.819212	21.177827	2.283333
26.158203	21.220381	2.300000
26.658038	21.528457	2.316667
26.996968	21.653470	2.333333
27.497107	21.556061	2.350000
27.674887	21.823250	2.366667
28.174903	21.890043	2.383333
28.191657	22.136338	2.400000
28.691610	22.286602	2.416667
29.030537	22.414841	2.433333
29.369402	22.626429	2.450000
29.708391	22.672931	2.466667
30.047254	22.885951	2.483333
30.063942	23.219221	2.500000
30.724854	23.482322	2.516667
30.902753	23.590382	2.533333
31.402701	23.747574	2.550000
31.741625	23.881006	2.566667
32.080548	24.014976	2.583333
32.097232	24.353480	2.600000
32.758265	24.454377	2.616667
32.936099	24.649955	2.633333
33.274956	24.871801	2.650000
33.613877	25.008995	2.666667
34.113755	25.258723	2.683333
34.291587	25.456983	2.700000
34.630571	25.509944	2.716667
35.291729	25.443883	2.733333
35.147386	25.762658	2.750000
35.969631	25.637569	2.766667
35.986374	25.897607	2.783333
36.003051	26.245156	2.800000
